vader_compound,vader_pos,vader_neg,vader_neu,Verified,Type Of Traveller,Seat Type,review_length,Recommended
-0.7003,0.016,0.071,0.913,True,Business,Economy Class,454,0
0.9484,0.214,0.031,0.755,True,Business,Business Class,547,1
0.9707,0.145,0.034,0.821,True,Business,Premium Economy,1351,1
-0.9179,0.035,0.153,0.812,True,Family Leisure,Economy Class,674,0
-0.795,0.0,0.1,0.9,True,Solo Leisure,Economy Class,358,0
0.9229,0.323,0.0,0.677,True,Business,Economy Class,209,1
0.6411,0.09,0.053,0.857,True,Solo Leisure,Economy Class,895,1
0.8854,0.119,0.05,0.831,False,Couple Leisure,Economy Class,844,1
-0.758,0.033,0.053,0.914,True,Family Leisure,Economy Class,1327,0
-0.99,0.025,0.189,0.787,True,Solo Leisure,Economy Class,1079,0
0.9798,0.301,0.0,0.699,True,Couple Leisure,Economy Class,386,1
0.0,0.0,0.0,1.0,True,Family Leisure,Economy Class,324,0
-0.782,0.021,0.086,0.892,True,Family Leisure,Economy Class,850,0
0.7262,0.103,0.055,0.841,True,Business,Economy Class,608,1
0.9553,0.333,0.043,0.625,True,Business,Economy Class,254,1
0.984,0.229,0.019,0.752,True,Business,Economy Class,602,1
0.5318,0.078,0.07,0.851,True,Couple Leisure,Economy Class,801,0
0.886,0.147,0.0,0.853,False,Solo Leisure,Business Class,394,1
0.9939,0.23,0.018,0.752,False,Family Leisure,Economy Class,1098,1
0.4435,0.081,0.073,0.846,True,Family Leisure,Economy Class,1077,0
-0.9934,0.031,0.113,0.856,True,Solo Leisure,Economy Class,3027,0
-0.7743,0.036,0.059,0.905,True,Solo Leisure,Economy Class,1500,0
0.936,0.175,0.046,0.779,True,Solo Leisure,Economy Class,603,1
0.9792,0.153,0.026,0.821,True,Solo Leisure,Economy Class,1208,1
-0.9473,0.03,0.104,0.865,False,Family Leisure,Business Class,1250,0
-0.9002,0.029,0.075,0.896,True,Solo Leisure,Economy Class,1029,0
-0.4085,0.086,0.102,0.812,True,Family Leisure,Economy Class,839,0
-0.886,0.027,0.102,0.87,True,Family Leisure,Economy Class,683,0
0.9626,0.14,0.055,0.805,True,Business,Economy Class,975,1
